Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 month old,,,Per 100 live births,2014,34.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 month old,,,Per 100 live births,2014,30.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 month old,,,Per 100 live births,2014,27.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 month old,,,Per 100 live births,2014,20.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 year old,,,Per 100 live births,2014,34.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 year old,,,Per 100 live births,2014,30.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 year old,,,Per 100 live births,2014,27.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Female,under 1 year old,,,Per 100 live births,2014,20.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 month old,,,Per 100 live births,2014,44.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 month old,,,Per 100 live births,2014,42.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 month old,,,Per 100 live births,2014,36.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 month old,,,Per 100 live births,2014,22.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 year old,,,Per 100 live births,2014,44.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 year old,,,Per 100 live births,2014,42.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 year old,,,Per 100 live births,2014,36.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,Male,under 1 year old,,,Per 100 live births,2014,22.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,,Per 100 live births,2014,37.3
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,,Per 100 live births,2014,28.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,,Per 100 live births,2014,27.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,,Per 100 live births,2014,18.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,2014,34.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,2014,39.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,2014,27.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 2,Per 100 live births,2014,45.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 2,Per 100 live births,2014,34.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 2,Per 100 live births,2014,23.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 3,Per 100 live births,2014,38.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 3,Per 100 live births,2014,35.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 3,Per 100 live births,2014,24.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 4,Per 100 live births,2014,38.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 4,Per 100 live births,2014,26.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 4,Per 100 live births,2014,18.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 5 (richest),Per 100 live births,2014,22.0
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 5 (richest),Per 100 live births,2014,16.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,,Quintile 5 (richest),Per 100 live births,2014,12.0
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Urban,,Per 100 live births,2014,27.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.3.2 Neonatal mortality rate,Cambodia,,under 1 month old,Urban,,Per 100 live births,2014,29.0
