Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,0.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.0
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.1
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.1
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.1
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,,Percent,2019-2020,1.2
2008,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,0.9
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,0.9
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,0.8
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,0.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.0
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.0
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.1
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.5.1 Gender parity index in lower secondary education,Cambodia,Urban,Percent,2019-2020,1.1
