Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time period details,Value
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,47375
2016,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,52274
2017,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,54092
2018,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,55702
2019,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,57282
2020,Normal value,Units,Country Data,MoSVY_National Fund for Veterans,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Cambodia,Number,2020,58762
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Banteay Meanchey,Number,2014,1192
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Battambang,Number,2014,2711
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Cham,Number,2014,4644
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Chhnang,Number,2014,1325
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Speu,Number,2014,1743
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampong Thom,Number,2014,1732
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kampot,Number,2014,1889
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kandal,Number,2014,3705
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kep,Number,2014,242
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Koh Kong,Number,2014,230
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Kratie,Number,2014,1052
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Mondul Kiri,Number,2014,315
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Oddar Meanchey,Number,2014,190
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Pailin,Number,2014,146
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Phnom Penh,Number,2014,14628
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Preah Sihanouk,Number,2014,606
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Preah Vihear,Number,2014,385
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Prey Veng,Number,2014,3232
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Pursat,Number,2014,1228
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Ratanak Kiri,Number,2014,125
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Siemreap,Number,2014,1562
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Stung Treng,Number,2014,372
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Svay Rieng,Number,2014,1664
2014,Normal value,Units,Country Data,MoSVY_National Fund for Veterans_2015,Annual,National,10.4.1 Civil Servants Retirees and invalid people who receive pension benefits,Takeo,Number,2014,2457
