Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2000,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,31.8
2005,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,43.8
2010,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,71.0
2014,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,89.0
2015,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,89.0
2016,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,85.0
2017,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,89.0
2018,Normal value,Units,Country Data,MoH_Health Management Information System,Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,,Percent,2018,87.3
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Urban,Percent,2014,57.2
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Urban,Percent,2014,70.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Urban,Percent,2014,94.7
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Urban,Percent,2014,97.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Rural,Percent,2014,28.0
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Rural,Percent,2014,39.4
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Rural,Percent,2014,66.6
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Cambodia,Rural,Percent,2014,87.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Banteay Meanchey,,Percent,2014,36.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Banteay Meanchey,,Percent,2014,33.1
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Banteay Meanchey,,Percent,2014,69.0
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Banteay Meanchey,,Percent,2014,95.8
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Cham,,Percent,2014,22.5
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Cham,,Percent,2014,45.9
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Cham,,Percent,2014,67.9
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Cham,,Percent,2014,91.5
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Chhnang,,Percent,2014,16.6
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Chhnang,,Percent,2014,37.2
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Chhnang,,Percent,2014,59.8
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Chhnang,,Percent,2014,97.6
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,2014,15.1
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,2014,22.7
2010,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,2014,68.2
2014,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Speu,,Percent,2014,89.3
2000,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,2014,15.4
2005,Normal value,Units,Country Data,"MoP, NIS & MoH_Cambodia Demographic and Health Survey",Annual,National,3.2.2 Proportion of births attended by skilled health personnel,Kampong Thom,,Percent,2014,24.5
