Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Time period details,Value
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,12.4
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,10.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,10.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,11.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,12.7
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,,18 to 21 years old,Percent,2020,13.8
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Female,18 to 21 years old,Percent,2020,11.3
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Female,18 to 21 years old,Percent,2020,11.6
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Female,18 to 21 years old,Percent,2020,12.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Male,18 to 21 years old,Percent,2020,12.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Male,18 to 21 years old,Percent,2020,14.3
2020,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.3.1 Gross enrolment rate in tertiary education (aged 18-21 years) by sex,Cambodia,Male,18 to 21 years old,Percent,2020,15.5
