Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
1979,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,4674
1980,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,1343
1981,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,1021
1982,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,1893
1983,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2761
1984,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2966
1985,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,3520
1986,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2902
1987,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,3533
1988,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2967
1989,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,3333
1990,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,3000
1991,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2427
1992,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2189
1993,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2535
1994,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2809
1995,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,3333
1996,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,4320
1997,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2298
1998,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,2150
1999,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,1153
2000,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,858
2001,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,826
2002,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,847
2003,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,772
2004,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,898
2005,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,875
2006,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,450
2007,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,352
2008,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,271
2009,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,244
2010,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,286
2011,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,211
2012,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,186
2013,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,111
2014,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,154
2015,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,111
2016,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,83
2017,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,58
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,58
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,77
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH,NUMBER,2020,65
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH13,NUMBER,2020,8
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH13,NUMBER,2020,6
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH13,NUMBER,2020,12
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH06,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH06,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH06,NUMBER,2020,3
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH15,NUMBER,2020,3
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH15,NUMBER,2020,3
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH15,NUMBER,2020,10
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH14,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH14,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH14,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH05,NUMBER,2020,11
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH05,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH05,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH23,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH23,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH23,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH16,NUMBER,2020,2
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH16,NUMBER,2020,12
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH16,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH09,NUMBER,2020,1
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH09,NUMBER,2020,1
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH09,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH04,NUMBER,2020,2
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH04,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH04,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH12,NUMBER,2020,1
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH12,NUMBER,2020,4
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH12,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH02,NUMBER,2020,8
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH02,NUMBER,2020,11
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH02,NUMBER,2020,19
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH25,NUMBER,2020,1
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH25,NUMBER,2020,14
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH25,NUMBER,2020,2
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH07,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH07,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH07,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH11,NUMBER,2020,2
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH11,NUMBER,2020,1
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH11,NUMBER,2020,1
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH20,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH20,NUMBER,2020,2
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH20,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH01,NUMBER,2020,3
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH01,NUMBER,2020,6
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH01,NUMBER,2020,7
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH19,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH19,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH19,NUMBER,2020,1
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH10,NUMBER,2020,3
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH10,NUMBER,2020,3
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH10,NUMBER,2020,4
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH21,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH21,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH21,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH22,NUMBER,2020,5
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH22,NUMBER,2020,6
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH22,NUMBER,2020,3
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH24,NUMBER,2020,1
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH24,NUMBER,2020,2
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH24,NUMBER,2020,2
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH03,NUMBER,2020,2
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH03,NUMBER,2020,2
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH03,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH08,NUMBER,2020,2
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH08,NUMBER,2020,3
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH08,NUMBER,2020,1
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH18,NUMBER,2020,0
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH18,NUMBER,2020,0
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH18,NUMBER,2020,0
2018,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH17,NUMBER,2020,3
2019,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH17,NUMBER,2020,1
2020,A,0,C,CMAA_Cambodia Mine Action Authority/DBU,A,N,N_KH_180201_01,KH17,NUMBER,2020,0
