Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,12.4
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,10.9
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,10.5
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,11.6
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,12.7
2020,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,,Y18T21,PT,2020,13.8
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,F,Y18T21,PT,2020,11.3
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,F,Y18T21,PT,2020,11.6
2020,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,F,Y18T21,PT,2020,12.0
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,M,Y18T21,PT,2020,12.2
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,M,Y18T21,PT,2020,14.3
2020,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040301_01,KH,M,Y18T21,PT,2020,15.5
