Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,TIME_DETAIL,Value
2007,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,32
2008,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,34
2009,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,33
2010,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,34
2011,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,34
2012,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,35
2013,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,37
2014,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,38
2015,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,39
2016,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,40
2017,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,41
2018,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,42
2019,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,43
2020,A,0,C,"MoWA_Planning and Statistics Department, Annual report",A,N,N_KH_160701_01,KH,F,PT,2020,44
