Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2007,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,10.8
2008,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,11.9
2009,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,12.2
2010,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,12.7
2011,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,13.1
2012,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,13.3
2013,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,13.3
2014,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,14.9
2015,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,14.7
2016,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,12.0
2017,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,11.3
2018,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,11.0
2019,A,0,C,"NRSC, National Road Safty Committee",A,N,SH_STA_TRAF,KH,PER_100000_POP,2019,12.2
