Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,0.9
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.0
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.1
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.1
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.1
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.2
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,,PT,2019-2020,1.2
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,0.9
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,0.9
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,0.8
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,0.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.0
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.0
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.0
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.1
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.1
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.1
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,U,PT,2019-2020,1.1
2008,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,0.9
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.0
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.0
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.0
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.1
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.1
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.2
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.2
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_040501_01,KH,R,PT,2019-2020,1.2
